# z [km]    k_sca [km-1]   k_abs [km-1] 
    120.00            0            0 
    115.00    1.991e-09    4.434e-12 
    110.00    4.115e-09    1.022e-11 
    105.00    9.418e-09    2.509e-11 
    100.00    2.219e-08      5.2e-11 
     95.00    5.363e-08    8.864e-11 
     90.00    1.313e-07    1.568e-10 
     85.00    3.173e-07    4.927e-10 
     80.00    7.318e-07    1.728e-09 
     75.00    1.613e-06    4.841e-09 
     70.00    3.409e-06    1.219e-08 
     65.00    6.847e-06    3.414e-08 
     60.00     1.32e-05    1.064e-07 
     55.00    2.461e-05    3.366e-07 
     50.00    4.483e-05    1.105e-06 
     47.50    6.975e-05    2.612e-06 
     45.00    9.658e-05    4.793e-06 
     42.50    0.0001362    8.755e-06 
     40.00    0.0001942    1.688e-05 
     37.50    0.0002797    3.271e-05 
     35.00    0.0004074    5.466e-05 
     32.50    0.0005998     7.75e-05 
     30.00    0.0008844    0.0001012 
     27.50     0.001301     0.000123 
     25.00      0.00192    0.0001418 
     24.00     0.002512     0.000149 
     23.00     0.002943    0.0001456 
     22.00      0.00345    0.0001434 
     21.00     0.004048    0.0001382 
     20.00     0.004753    0.0001299 
     19.00     0.005569    0.0001188 
     18.00     0.006514    0.0001048 
     17.00      0.00762    8.776e-05 
     16.00     0.008913    6.858e-05 
     15.00      0.01043    4.969e-05 
     14.00       0.0122     3.32e-05 
     13.00      0.01428    2.291e-05 
     12.00       0.0167    1.896e-05 
     11.00      0.01954    1.683e-05 
     10.00      0.02249     1.63e-05 
      9.00      0.02545    1.683e-05 
      8.00       0.0287    1.753e-05 
      7.00      0.03225    1.859e-05 
      6.00      0.03614     2.06e-05 
      5.00      0.04037    2.294e-05 
      4.00      0.04497     2.58e-05 
      3.00      0.04997    2.919e-05 
      2.00      0.05538    3.342e-05 
      1.00      0.06123    3.738e-05 
      0.00      0.06754    4.089e-05 
