# z [km]    k_sca [km-1]   k_abs [km-1] 
    120.00            0            0 
    115.00    2.905e-09    1.024e-11 
    110.00    6.003e-09     1.43e-10 
    105.00    1.374e-08    1.305e-09 
    100.00    3.236e-08    6.912e-09 
     95.00    7.822e-08    3.013e-08 
     90.00    1.915e-07        9e-08 
     85.00    4.628e-07     1.82e-07 
     80.00    1.067e-06    2.788e-07 
     75.00    2.353e-06    4.362e-07 
     70.00    4.973e-06    9.525e-07 
     65.00    9.988e-06    3.636e-06 
     60.00    1.925e-05    1.258e-05 
     55.00     3.59e-05    3.862e-05 
     50.00    6.539e-05    0.0001216 
     47.50    0.0001017    0.0002754 
     45.00    0.0001409    0.0004921 
     42.50    0.0001987    0.0008384 
     40.00    0.0002833     0.001394 
     37.50     0.000408     0.002254 
     35.00    0.0005942     0.003354 
     32.50    0.0008749      0.00461 
     30.00      0.00129     0.006174 
     27.50     0.001898     0.008153 
     25.00       0.0028      0.01059 
     24.00     0.003665      0.01237 
     23.00     0.004293      0.01305 
     22.00     0.005033      0.01357 
     21.00     0.005905      0.01357 
     20.00     0.006932      0.01337 
     19.00     0.008123      0.01286 
     18.00     0.009502       0.0118 
     17.00      0.01112      0.01058 
     16.00        0.013     0.009168 
     15.00      0.01521     0.007923 
     14.00       0.0178     0.007028 
     13.00      0.02082     0.006323 
     12.00      0.02436     0.005788 
     11.00       0.0285     0.005106 
     10.00       0.0328     0.003894 
      9.00      0.03712     0.002867 
      8.00      0.04186     0.002213 
      7.00      0.04705     0.001827 
      6.00      0.05271     0.001719 
      5.00      0.05888      0.00168 
      4.00       0.0656     0.001719 
      3.00      0.07288     0.001813 
      2.00      0.08078      0.00199 
      1.00      0.08932     0.002098 
      0.00      0.09852     0.002128 
