# z [km]    k_sca [km-1]   k_abs [km-1] 
    120.00            0            0 
    115.00    1.409e-09    6.744e-12 
    110.00    2.912e-09    1.431e-11 
    105.00    6.665e-09    3.369e-11 
    100.00     1.57e-08    8.211e-11 
     95.00    3.795e-08    2.056e-10 
     90.00    9.293e-08    5.226e-10 
     85.00    2.245e-07    1.319e-09 
     80.00    5.179e-07    3.197e-09 
     75.00    1.142e-06    7.465e-09 
     70.00    2.413e-06    1.688e-08 
     65.00    4.846e-06    3.682e-08 
     60.00    9.341e-06      7.9e-08 
     55.00    1.742e-05    1.713e-07 
     50.00    3.173e-05    3.928e-07 
     47.50    4.936e-05    8.646e-07 
     45.00    6.835e-05    1.969e-06 
     42.50     9.64e-05     5.09e-06 
     40.00    0.0001374    1.355e-05 
     37.50     0.000198    3.284e-05 
     35.00    0.0002883    6.204e-05 
     32.50    0.0004245    9.446e-05 
     30.00    0.0006259     0.000128 
     27.50    0.0009207    0.0001567 
     25.00     0.001358    0.0001804 
     24.00     0.001778    0.0001892 
     23.00     0.002083    0.0001842 
     22.00     0.002442    0.0001819 
     21.00     0.002865    0.0001771 
     20.00     0.003363     0.000168 
     19.00     0.003941    0.0001545 
     18.00      0.00461     0.000137 
     17.00     0.005393     0.000116 
     16.00     0.006308    9.281e-05 
     15.00     0.007379    7.076e-05 
     14.00     0.008634    5.297e-05 
     13.00       0.0101    4.632e-05 
     12.00      0.01182    5.179e-05 
     11.00      0.01383    6.418e-05 
     10.00      0.01592    8.087e-05 
      9.00      0.01801    0.0001009 
      8.00      0.02031    0.0001261 
      7.00      0.02283    0.0001572 
      6.00      0.02558     0.000195 
      5.00      0.02857    0.0002409 
      4.00      0.03183    0.0002963 
      3.00      0.03536    0.0003629 
      2.00      0.03919    0.0004428 
      1.00      0.04334    0.0005383 
      0.00       0.0478    0.0006514 
