# z [km]    k_sca [km-1]   k_abs [km-1] 
    120.00            0            0 
    115.00    4.538e-10    1.781e-12 
    110.00    9.377e-10    8.752e-12 
    105.00    2.146e-09    6.393e-11 
    100.00    5.055e-09    3.262e-10 
     95.00    1.222e-08    1.401e-09 
     90.00    2.992e-08    4.176e-09 
     85.00    7.229e-08    8.499e-09 
     80.00    1.667e-07    1.321e-08 
     75.00    3.676e-07    2.104e-08 
     70.00    7.768e-07    4.564e-08 
     65.00     1.56e-06    1.662e-07 
     60.00    3.008e-06    5.545e-07 
     55.00    5.608e-06    1.652e-06 
     50.00    1.022e-05    5.063e-06 
     47.50    1.589e-05    1.136e-05 
     45.00    2.201e-05    2.051e-05 
     42.50    3.104e-05    3.574e-05 
     40.00    4.425e-05     6.12e-05 
     37.50    6.374e-05    0.0001023 
     35.00    9.282e-05    0.0001565 
     32.50    0.0001367    0.0002189 
     30.00    0.0002015    0.0002953 
     27.50    0.0002964    0.0003886 
     25.00    0.0004374    0.0005013 
     24.00    0.0005725    0.0005821 
     23.00    0.0006707    0.0006118 
     22.00    0.0007862    0.0006347 
     21.00    0.0009225    0.0006344 
     20.00     0.001083     0.000624 
     19.00     0.001269    0.0005986 
     18.00     0.001484    0.0005479 
     17.00     0.001736    0.0004891 
     16.00     0.002031    0.0004216 
     15.00     0.002376    0.0003612 
     14.00      0.00278    0.0003169 
     13.00     0.003253    0.0002829 
     12.00     0.003806    0.0002583 
     11.00     0.004452    0.0002279 
     10.00     0.005124    0.0001738 
      9.00     0.005799    0.0001278 
      8.00     0.006539    9.891e-05 
      7.00      0.00735    8.202e-05 
      6.00     0.008235    7.739e-05 
      5.00     0.009199      7.6e-05 
      4.00      0.01025    7.844e-05 
      3.00      0.01139    8.401e-05 
      2.00      0.01262    9.432e-05 
      1.00      0.01395    0.0001035 
      0.00      0.01539    0.0001117 
