# z [km]    k_sca [km-1]   k_abs [km-1] 
    120.00            0            0 
    115.00    1.139e-09    7.377e-12 
    110.00    2.353e-09    1.565e-11 
    105.00    5.385e-09    3.685e-11 
    100.00    1.268e-08    8.981e-11 
     95.00    3.066e-08    2.249e-10 
     90.00    7.508e-08    5.716e-10 
     85.00    1.814e-07    1.443e-09 
     80.00    4.184e-07    3.497e-09 
     75.00    9.224e-07    8.165e-09 
     70.00    1.949e-06    1.846e-08 
     65.00    3.915e-06    4.027e-08 
     60.00    7.547e-06    8.638e-08 
     55.00    1.407e-05    1.873e-07 
     50.00    2.563e-05    4.293e-07 
     47.50    3.988e-05     9.45e-07 
     45.00    5.522e-05    2.152e-06 
     42.50    7.788e-05    5.565e-06 
     40.00     0.000111    1.482e-05 
     37.50    0.0001599    3.591e-05 
     35.00    0.0002329    6.783e-05 
     32.50    0.0003429    0.0001033 
     30.00    0.0005057    0.0001399 
     27.50    0.0007438    0.0001712 
     25.00     0.001098    0.0001968 
     24.00     0.001436     0.000206 
     23.00     0.001683    0.0002002 
     22.00     0.001973    0.0001972 
     21.00     0.002315    0.0001913 
     20.00     0.002717    0.0001804 
     19.00     0.003184    0.0001644 
     18.00     0.003724    0.0001436 
     17.00     0.004357    0.0001182 
     16.00     0.005096    8.974e-05 
     15.00     0.005961    6.128e-05 
     14.00     0.006975    3.588e-05 
     13.00     0.008162    2.045e-05 
     12.00      0.00955    1.528e-05 
     11.00      0.01117     1.36e-05 
     10.00      0.01286    1.358e-05 
      9.00      0.01455    1.446e-05 
      8.00      0.01641    1.603e-05 
      7.00      0.01844    1.795e-05 
      6.00      0.02066    2.012e-05 
      5.00      0.02308    2.249e-05 
      4.00      0.02571     2.51e-05 
      3.00      0.02857    2.795e-05 
      2.00      0.03166    3.111e-05 
      1.00      0.03501     3.46e-05 
      0.00      0.03862    3.844e-05 
